order_id,payment_id,merchant_id,customer_email,amount,currency,status,method,created_at,description
ord_f899139df5e105,pay_cfcd208495d565,merch_1000,customer00@example.com,199.00,INR,captured,card,2026-08-01,Razorpay Commerce order 00
ord_38b3eff8baf566,pay_c4ca4238a0b923,merch_1001,customer01@example.com,299.00,INR,captured,upi,2026-08-02,RZP Commerce order 01
ord_ec8956637a9978,pay_c81e728d9d4c2f,merch_1002,customer02@example.com,499.00,INR,captured,netbanking,2026-08-03,Razorpay Marketplace order 02
ord_6974ce5ac66061,pay_eccbc87e4b5ce2,merch_1003,customer03@example.com,599.00,INR,failed,wallet,2026-08-04,Razorpay Commerce order 03
ord_c9e1074f5b3f9f,pay_a87ff679a2f3e7,merch_1004,customer04@example.com,799.00,INR,captured,card,2026-08-05,RZP Commerce order 04
ord_65b9eea6e1cc6b,pay_e4da3b7fbbce23,merch_1000,customer05@example.com,999.00,INR,captured,upi,2026-08-06,Razorpay Marketplace order 05
ord_f0935e4cd5920a,pay_1679091c5a880f,merch_1001,customer06@example.com,1499.00,INR,captured,netbanking,2026-08-07,Razorpay Commerce order 06
ord_a97da629b098b7,pay_8f14e45fceea16,merch_1002,customer07@example.com,1999.00,INR,captured,wallet,2026-08-08,RZP Commerce order 07
ord_a3c65c2974270f,pay_c9f0f895fb98ab,merch_1003,customer08@example.com,2499.00,INR,captured,card,2026-08-09,Razorpay Marketplace order 08
ord_2723d092b63885,pay_45c48cce2e2d7f,merch_1004,customer09@example.com,4999.00,INR,captured,upi,2026-08-10,Razorpay Commerce order 09
ord_5f93f983524def,pay_d3d9446802a442,merch_1000,customer10@example.com,199.00,INR,captured,netbanking,2026-08-11,RZP Commerce order 10
ord_698d51a19d8a12,pay_6512bd43d9caa6,merch_1001,customer11@example.com,299.00,INR,captured,wallet,2026-08-12,Razorpay Marketplace order 11
ord_7f6ffaa6bb0b40,pay_c20ad4d76fe977,merch_1002,customer12@example.com,499.00,INR,captured,card,2026-08-13,Razorpay Commerce order 12
ord_73278a4a86960e,pay_c51ce410c124a1,merch_1003,customer13@example.com,599.00,INR,captured,upi,2026-08-14,RZP Commerce order 13
ord_5fd0b37cd7dbbb,pay_aab3238922bcc2,merch_1004,customer14@example.com,799.00,INR,captured,netbanking,2026-08-15,Razorpay Marketplace order 14
ord_2b44928ae11fb9,pay_9bf31c7ff06293,merch_1000,customer15@example.com,999.00,INR,captured,wallet,2026-08-16,Razorpay Commerce order 15
ord_c45147dee72931,pay_c74d97b01eae25,merch_1001,customer16@example.com,1499.00,INR,captured,card,2026-08-17,RZP Commerce order 16
ord_eb160de1de89d9,pay_70efdf2ec9b086,merch_1002,customer17@example.com,1999.00,INR,captured,upi,2026-08-18,Razorpay Marketplace order 17
ord_5ef059938ba799,pay_6f4922f4556816,merch_1003,customer18@example.com,2499.00,INR,captured,netbanking,2026-08-19,Razorpay Commerce order 18
ord_07e1cd7dca89a1,pay_1f0e3dad999083,merch_1004,customer19@example.com,4999.00,INR,captured,wallet,2026-08-20,RZP Commerce order 19
ord_da4fb5c6e93e74,pay_98f13708210194,merch_1000,customer20@example.com,199.00,INR,captured,card,2026-08-01,Razorpay Marketplace order 20
ord_4c56ff4ce4aaf9,pay_3c59dc048e8850,merch_1001,customer21@example.com,299.00,INR,captured,upi,2026-08-02,Razorpay Commerce order 21
ord_a0a080f42e6f13,pay_b6d767d2f8ed5d,merch_1002,customer22@example.com,499.00,INR,failed,netbanking,2026-08-03,RZP Commerce order 22
ord_202cb962ac5907,pay_37693cfc748049,merch_1003,customer23@example.com,599.00,INR,captured,wallet,2026-08-04,Razorpay Marketplace order 23
ord_c8ffe9a587b126,pay_1ff1de774005f8,merch_1004,customer24@example.com,799.00,INR,captured,card,2026-08-05,Razorpay Commerce order 24
ord_3def184ad8f475,pay_8e296a067a3756,merch_1000,customer25@example.com,999.00,INR,captured,upi,2026-08-06,RZP Commerce order 25
ord_069059b7ef840f,pay_4e732ced3463d0,merch_1001,customer26@example.com,1499.00,INR,captured,netbanking,2026-08-07,Razorpay Marketplace order 26
ord_ec5decca5ed3d6,pay_02e74f10e0327a,merch_1002,customer27@example.com,1999.00,INR,captured,wallet,2026-08-08,Razorpay Commerce order 27
ord_76dc611d6ebaaf,pay_33e75ff09dd601,merch_1003,customer28@example.com,2499.00,INR,captured,card,2026-08-09,RZP Commerce order 28
ord_d1f491a404d685,pay_6ea9ab1baa0efb,merch_1004,customer29@example.com,4999.00,INR,captured,upi,2026-08-10,Razorpay Marketplace order 29
ord_9b8619251a1905,pay_34173cb38f07f8,merch_1000,customer30@example.com,199.00,INR,captured,netbanking,2026-08-11,Razorpay Commerce order 30
ord_1afa34a7f984ee,pay_c16a5320fa4755,merch_1001,customer31@example.com,299.00,INR,captured,wallet,2026-08-12,RZP Commerce order 31
ord_65ded5353c5ee4,pay_6364d3f0f495b6,merch_1002,customer32@example.com,499.00,INR,captured,card,2026-08-13,Razorpay Marketplace order 32
ord_9fc3d7152ba933,pay_182be0c5cdcd50,merch_1003,customer33@example.com,599.00,INR,captured,upi,2026-08-14,Razorpay Commerce order 33
ord_02522a2b2726fb,pay_e369853df766fa,merch_1004,customer34@example.com,799.00,INR,captured,netbanking,2026-08-15,RZP Commerce order 34
ord_7f1de29e6da19d,pay_1c383cd30b7c29,merch_1000,customer35@example.com,999.00,INR,captured,wallet,2026-08-16,Razorpay Marketplace order 35
ord_42a0e188f5033b,pay_19ca14e7ea6328,merch_1001,customer36@example.com,1499.00,INR,captured,card,2026-08-17,Razorpay Commerce order 36
ord_3988c7f88ebcb5,pay_a5bfc9e07964f8,merch_1002,customer37@example.com,1999.00,INR,captured,upi,2026-08-18,RZP Commerce order 37
ord_013d407166ec4f,pay_a5771bce93e200,merch_1003,customer38@example.com,2499.00,INR,failed,netbanking,2026-08-19,Razorpay Marketplace order 38
ord_e00da03b685a0d,pay_d67d8ab4f4c10b,merch_1004,customer39@example.com,4999.00,INR,captured,wallet,2026-08-20,Razorpay Commerce order 39
ord_1385974ed5904a,pay_d645920e395fed,merch_1000,customer40@example.com,199.00,INR,captured,card,2026-08-01,RZP Commerce order 40
ord_0f28b5d49b3020,pay_3416a75f4cea91,merch_1001,customer41@example.com,299.00,INR,captured,upi,2026-08-02,Razorpay Marketplace order 41
ord_a8baa56554f963,pay_a1d0c6e83f0273,merch_1002,customer42@example.com,499.00,INR,captured,netbanking,2026-08-03,Razorpay Commerce order 42
ord_903ce9225fca3e,pay_17e62166fc8586,merch_1003,customer43@example.com,599.00,INR,captured,wallet,2026-08-04,RZP Commerce order 43
ord_0a09c8844ba8f0,pay_f7177163c833df,merch_1004,customer44@example.com,799.00,INR,captured,card,2026-08-05,Razorpay Marketplace order 44
ord_2b24d495052a8c,pay_6c8349cc7260ae,merch_1000,customer45@example.com,999.00,INR,captured,upi,2026-08-06,Razorpay Commerce order 45
ord_a5e00132373a70,pay_d9d4f495e875a2,merch_1001,customer46@example.com,1499.00,INR,captured,netbanking,2026-08-07,RZP Commerce order 46
ord_8d5e957f297893,pay_67c6a1e7ce56d3,merch_1002,customer47@example.com,1999.00,INR,captured,wallet,2026-08-08,Razorpay Marketplace order 47
ord_47d1e990583c9c,pay_642e92efb79421,merch_1003,customer48@example.com,2499.00,INR,captured,card,2026-08-09,Razorpay Commerce order 48
